nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Casa en Matadepera,COLDWELL BANKER STYLE REAL ESTATE,1.547 €/m²,885.000 €,572 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-49252480787_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),572 m²,500 m²,5,4,,,,,IFC76326-CAS_33,,,,,,,,,,,,,,,,,,,2.258 m²,,,,,,,N/A,,,,,,,,,,,,
Casa en Carrer dels Fruiters,IMMOBILIÀRIA TISA,1.684 €/m²,485.000 €,288 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-50032796217_180300/,Anuncio actualizado el 17/02/2025,"G, G","G, G",valles_occidental_nord (BCN),288 m²,278 m²,3,3,,,Entre 20 y 30 años,En buen estado,1803-012401,N/A,Parquet,Aluminio,N/A,N/A,N/A,N/A,,,N/A,N/A,,N/A,Frío y calor,Gas natural,N/A,N/A,N/A,313 m²,Más de 2,Más de 2,Privado,,,N/A,,,,,,,,,,,,,
Piso en Les Arenes-Can Montllor-La Grípia,INMOGRIPIA,1.379 €/m²,160.000 €,116 m²,https://www.pisos.com/comprar/piso-les_arenes_can_montllor_la_gripia08227-50878736633_514364/,Anuncio actualizado el 11/02/2025,"E, E","E, E",valles_occidental_nord (BCN),116 m²,102 m²,3,2,1ª,N/A,Entre 30 y 50 años,En buen estado,514364-007211,Roble,Terrazo,Aluminio,,8 m² + 7 m² de galería,16 m²,N/A,,N/A,,,Norte,,,,,,,,,,,,,,N/A,,,,N/A,140.-€ trimestral,,,N/A,,,,
Casa en calle Mossen Angel Rodamilans,FINQUES DURAN-ARGEMI,1.507 €/m²,398.000 €,264 m²,https://www.pisos.com/comprar/casa-ca_nanglada08222-49258155233_142700/,Anuncio actualizado el 18/02/2025,"D, D","D, D",valles_occidental_nord (BCN),264 m²,155 m²,4,4,,,Entre 20 y 30 años,En buen estado,1427-26741,,N/A,Aluminio,N/A,,,,,,,N/A,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Casa en Matadepera,COLDWELL BANKER STYLE REAL ESTATE,2.669 €/m²,750.000 €,281 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-45836303611_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),281 m²,260 m²,5,2,,,,,IFC76326-CBMT632,,,,,,,,,,,,,,,,,,,2.404 m²,,,,,,,,,,,,,,,,,,,
Piso en Escoles,DC TERRASSA IMMOBLES,2.239 €/m²,215.000 €,96 m²,https://www.pisos.com/comprar/piso-escola_industrial_placa_de_catalunya08222-48418354187_103800/,Anuncio actualizado el 14/02/2025,"E, E","E, E",valles_occidental_nord (BCN),96 m²,,3,2,,,Entre 20 y 30 años,En buen estado,INB722-01081RC,,,,,,,,,,,,Oeste,,,Gas natural,,,,,,1,,,,,N/A,,,N/A,,,,,,,,,
Piso en Ca n'Aurell,Engel & Völkers MMC Barcelona,3.280 €/m²,292.000 €,89 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-5189843460_109700/,Anuncio actualizado el 17/02/2025,"A, A","A, A",valles_occidental_nord (BCN),89 m²,,2,2,,,,A estrenar,IF76306-D-000M32,,,,,,,,,,,N/A,,,Frío y calor,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,
Casa adosada en Carrer Nou,PLUS HABITAT,3.093 €/m²,495.000 €,160 m²,https://www.pisos.com/comprar/casa_adosada-viladecavalls_centro_urbano-50926822125_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),160 m²,,4,3,,,Menos de 5 años,En buen estado,SA2641-PH-277 Nouo Viladecavalls,,,,,,,,,,,N/A,,,N/A,,,,,,,1,N/A,,,,,,,,,,,,,Adosada,,,
Piso en Can Palet,MACROFINCAS S.L,1.705 €/m²,145.000 €,85 m²,https://www.pisos.com/comprar/piso-can_palet08223-44262071778_100500/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),85 m²,80 m²,3,1,4ª,,Más de 50 años,,SA565-MCO5881MW/1454,,Gres,,,,N/A,,,,,N/A,,,,,,,,,,,,N/A,,,,N/A,,,,,,,,,,,
Casa en Ca n'Anglada,INMOGRIPIA,1.417 €/m²,258.000 €,182 m²,https://www.pisos.com/comprar/casa-ca_nanglada08222-47576141032_514364/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),182 m²,165 m²,3,2,,,Más de 50 años,En buen estado,514364-007151,Haya,Parquet,Aluminio,N/A,Office,24 m²,N/A,,,N/A,N/A,Sur,N/A,Frío,Gas natural,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en La Bauma,MACROFINCAS S.L,1.936 €/m²,139.442 €,72 m²,https://www.pisos.com/comprar/piso-rellinars_centro_urbano-55041848335_104400/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),72 m²,68 m²,2,1,Bajo,,Más de 50 años,,SA565-MCO1073JP/1454,,Gres,,,,N/A,,,,,N/A,,,,N/A,,,,,,,,N/A,,,,N/A,,,,,,,,,,,
Piso en Castellar del Vallès,JURIDIC HOME,1.818 €/m²,200.000 €,110 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-50037842821_524974/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),110 m²,100 m²,3,1,4ª,N/A,Más de 50 años,En buen estado,4524974-Castellar piso,,Gres,Aluminio,,Tipo office,25m²,5m²,,N/A,N/A,5m²,,,Frío y calor,Gas natural,,,,,,,,,,Gas natural,N/A,,N/A,,,,N/A,,,,,,
Piso en Les Arenes-Can Montllor-La Grípia,INMOGRIPIA,2.573 €/m²,157.000 €,61 m²,https://www.pisos.com/comprar/piso-les_arenes_can_montllor_la_gripia08227-48355365141_514364/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),61 m²,47 m²,1,1,Bajo,N/A,Entre 20 y 30 años,En buen estado,514364-007169,Roble,Parquet,Aluminio,,6 m²,16 m²,,N/A,,N/A,,Este,N/A,,Gas natural,,,,,,,Comunitario,,,N/A,,,N/A,,,,N/A,Comunitaria,,,,,
Dúplex en Carrer d'Antoninus Pius,GERFINCAS,3.125 €/m²,275.000 €,88 m²,https://www.pisos.com/comprar/duplex-ca_naurell08224-50890412143_500806/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_occidental_nord (BCN),88 m²,88 m²,3,3,4ª,N/A,Menos de 5 años,A estrenar,500806-007590,De madera blanca,Parquet,Aluminio,,Americana,De 20 m²,Empotrado,,Videoportero,N/A,De 15 m²,Oeste,N/A,Frío y calor,Por conducto,,,,,,,,,,,N/A,,N/A,,,Entre 40 y 60 €,,,,,,N/A,
Piso en Ca n'Aurell,VILA ACTIVA,3.333 €/m²,250.000 €,75 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-50878177989_142900/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),75 m²,75 m²,3,2,2ª,N/A,Entre 10 y 20 años,En buen estado,1429-P2228,Roure,Parquet,Aluminio,,Independent,20 m²,,,,N/A,,Sur,N/A,Frío,Gas natural,,,,,2,,,,,,N/A,N/A,,,,,,,,,,,
Dúplex en Torresana,DC TERRASSA IMMOBLES,1.892 €/m²,246.000 €,130 m²,https://www.pisos.com/comprar/duplex-torre_sana-47502729675_103800/,Anuncio actualizado el 20/02/2025,"E, D","E, D",valles_occidental_nord (BCN),130 m²,,4,2,2ª,,Entre 10 y 20 años,En buen estado,INB722-190-01078GU,,,,,,,,,,,,,,Frío y calor,Gas natural,,,,,,2,,,,,,,,N/A,,Más de 100 €,,,,,,,
Piso en Carrer de Sant Sebastià,IMMOTEMPUS,2.238 €/m²,188.000 €,84 m²,https://www.pisos.com/comprar/piso-segle_xx08223-42512331397_527673/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),84 m²,74 m²,2,1,4ª,N/A,Entre 20 y 30 años,En buen estado,4527673-IT-122,,Gres,Aluminio,,N/A,N/A,N/A,,,,,Sureste,,,Gas natural,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,
"Casa adosada en Carretera de Rubí,  s/n",HABITAT INMOBILIARIA,3.312 €/m²,414.000 €,125 m²,https://www.pisos.com/comprar/casa_adosada-segle_xx08223-4753838905_109700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_occidental_nord (BCN),125 m²,,3,3,,,,A estrenar,4990150-CSAL,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,Adosada,,,
Piso en Torrent D en Pere Parres,MES QUE FINQUES,2.527 €/m²,139.000 €,55 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-50092979915_100500/,Anuncio actualizado el 20/01/2025,"G, G","G, G",valles_occidental_nord (BCN),55 m²,53 m²,2,1,1ª,,,,SA5682-936/12116,,Parquet,,,,N/A,,,,,,Norte,,N/A,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Sant Llorenç Savall,NOVA FINQUES,2.087 €/m²,164.900 €,79 m²,https://www.pisos.com/comprar/piso-sant_llorenc_savall_centro_urbano-45865359528_100500/,Anuncio actualizado el 25/09/2024,"E, E","E, E",valles_occidental_nord (BCN),79 m²,,2,1,Bajo,,Más de 50 años,,SA3386-CDV11261/8710,,Gres,,,,,,N/A,,,N/A,Oeste,,,Eléctrica,,,,,,,N/A,N/A,,,,,,,,,,,,,,,
Piso en Les Arenes-Can Montllor-La Grípia,INMOGRIPIA,2.640 €/m²,198.000 €,75 m²,https://www.pisos.com/comprar/piso-les_arenes_can_montllor_la_gripia08227-49203055534_514364/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),75 m²,64 m²,3,2,2ª,,Entre 20 y 30 años,En buen estado,514364-007183,Lacada en blanco,,Aluminio,,8 m² + lavadero,20 m² con salida a balcón,N/A,N/A,N/A,,,Noroeste,,Todo eléctrico,Radiada por suelo,,,,,,1,,,,,N/A,N/A,N/A,,,,N/A,,,,,,
Casa adosada en Les Arenes-Can Montllor-La Grípia,INMOGRIPIA,1.868 €/m²,340.000 €,182 m²,https://www.pisos.com/comprar/casa_adosada-les_arenes_can_montllor_la_gripia08227-50877568115_514364/,Anuncio actualizado el 11/02/2025,"F, E","F, E",valles_occidental_nord (BCN),182 m²,167 m²,4,3,,,Entre 30 y 50 años,En buen estado,514364-007215,Embero,Gres,Aluminio,,12 m² office + lavadero,27 m²,N/A,,,N/A,20 m²,Sur,,Frío,Gas natural,,,,,2,1,,,,N/A,,,,,,,N/A,,N/A,Adosada,,N/A,
Dúplex en Carrer de la Masia,EGARPIS,1.535 €/m²,215.000 €,140 m²,https://www.pisos.com/comprar/duplex-can_boada_torrent_en_pere_parres08225-49213605241_122900/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),140 m²,140 m²,4,2,2ª,N/A,Entre 30 y 50 años,En buen estado,1229-908707,Aluminio,Parquet y gres,Aluminio,,14 off. Reformada,35 m. S/balcon,2 m. En balcon parte atras,,N/A,,,Suroeste,,Frío y calor,Gas natural,,,,,,,,,,N/A,,N/A,N/A,,,,,,,,,,
Ático en calle Ca Naurell,LA IMMOBILIARIA TRS,1.666 €/m²,165.000 €,99 m²,https://www.pisos.com/comprar/atico-ca_naurell08224-49224394098_109300/,Anuncio actualizado el 20/02/2025,"C, C","C, C",valles_occidental_nord (BCN),99 m²,,3,1,,N/A,,,EP999-RAQ-191,,,,,,,,,,,15,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,
"Casa en Carrer de Manel Domènech, 1",FERRAN CORDOBA,296 €/m²,414.900 €,1.400 m²,https://www.pisos.com/comprar/casa-sentmenat_centro_urbano-49197111488_516344/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),1.400 m²,410 m²,6,4,,,,En buen estado,516344-000032,,Mármol,Aluminio,N/A,N/A,N/A,N/A,,,,N/A,A la montaña,,Frío y calor,Central,N/A,N/A,N/A,1.400 m²,,2,Privado,,,N/A,,,,,,No hay,,Propia,N/A,,N/A,,
Piso en Júcar,EGARPIS,1.818 €/m²,200.000 €,110 m²,https://www.pisos.com/comprar/piso-xuquer08223-38387888637_122900/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),110 m²,90 m²,3,2,1ª,Resto,Entre 10 y 20 años,En buen estado,1229-09174,Haya,Gres,Aluminio,,Office 10m² ext lavadero,25m² ext balcón,2m²,,N/A,N/A,,Noroeste,N/A,Frío,Gas natural,,,,,1,1,,,,N/A,N/A,N/A,N/A,,Baño,,N/A,,,,+electrodomésticos,,
Casa en Castellar del Vallès,AMIDA IMMOBLES,1.425 €/m²,570.000 €,400 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-50082096066_519487/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),400 m²,320 m²,5,4,,,Menos de 5 años,,519487-002020,N/A,Parquet,Aluminio,,N/A,N/A,N/A,,,N/A,N/A,Sur,N/A,Frío y calor,Central,N/A,N/A,N/A,,Más de 2,Más de 2,,,,,,,,,,,N/A,Propia,,,,N/A,
Casa en Carrer de Catalunya,Belfinques Egara S.L.,2.349 €/m²,289.000 €,123 m²,https://www.pisos.com/comprar/casa-sant_pere_zona_esportiva_sant_pere08225-40932569177_106000/,Anuncio actualizado el 31/07/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),123 m²,115 m²,3,1,,,Más de 50 años,,NI211-Bel-V1386,,Terrazo,Aluminio,,Independiente,N/A,,,,,25,,,,Gas natural,,,,,,,N/A,Gas natural,,,,,,,,,,,,,,,
Piso en Carrer de Pere Fizes,DALETH Habitatges,2.688 €/m²,285.000 €,106 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-45845658036_501592/,Anuncio actualizado el 23/01/2025,"A, A","A, A",valles_occidental_nord (BCN),106 m²,95 m²,2,2,Bajo,N/A,Menos de 5 años,A estrenar,501592-PH-PF4-001,,Parquet,Aluminio,,,,,,N/A,N/A,6 m²,,N/A,Frío y calor,Eléctrica,,,,,,,,,,,N/A,,N/A,,,,N/A,,,,,,
Piso en Ca n'Aurell,Engel & Völkers MMC Barcelona,3.291 €/m²,260.000 €,79 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-5244326350_109700/,Anuncio actualizado el 17/02/2025,"A, A","A, A",valles_occidental_nord (BCN),79 m²,,2,2,,,,A estrenar,IF76306-D-000M32,,,,,,,,,,,N/A,,,Frío y calor,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,
Ático en Carrer de Federico García Lorca,IMMOTEMPUS,3.513 €/m²,260.000 €,74 m²,https://www.pisos.com/comprar/atico-viladecavalls_centro_urbano-48346015179_527673/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),74 m²,67 m²,3,1,3ª,N/A,Entre 20 y 30 años,En buen estado,4527673-IT-118,,,Aluminio,,N/A,N/A,N/A,,,N/A,32m²,,,Frío y calor,Eléctrica,,,,,,,Comunitario,,,,N/A,,N/A,,,Entre 60 y 80 €,,Comunitaria,,,,,
"Casa en Carrer d'Holanda, 108","FINQUES MAJES 2000, S.L.",1.277 €/m²,368.000 €,288 m²,https://www.pisos.com/comprar/casa-can_parellada08228-47589182295_501506/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),288 m²,278 m²,5,3,,,Entre 20 y 30 años,A reformar,501506-B11570,,,Aluminio,,N/A,N/A,,,,,,,,,,,,,441 m²,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Santa Eulàlia,"FINCAMPS, AICAT NUM. 212",2.462 €/m²,165.000 €,67 m²,https://www.pisos.com/comprar/piso-can_palet08223-49178733422_500190/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),67 m²,55 m²,2,1,4ª,N/A,Entre 10 y 20 años,En buen estado,500190-051464,,Parquet,Aluminio,,,,,,N/A,N/A,,,,Frío y calor,,,,,,,1,,,,,N/A,N/A,,N/A,,Entre 60 y 80 €,,,N/A,,N/A,,
Ático en San Pere Nord,Belfinques Egara S.L.,2.923 €/m²,269.000 €,92 m²,https://www.pisos.com/comprar/atico-sant_pere_nord08226-50089024460_106000/,Anuncio actualizado el 10/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),92 m²,72 m²,3,2,3ª,,Entre 10 y 20 años,,NI211-Bel-V1452,,Parquet,Aluminio,,Independiente,N/A,,,,,N/A,,,N/A,Gas natural,,,,,1,1,,Gas natural,,,N/A,,,,,,,,,,Completamente amueblado,,
Casa pareada en Ca n'Aurell,"ESTUDI PROJECTE TERRASSA, S.L.",1.146 €/m²,249.900 €,218 m²,https://www.pisos.com/comprar/casa_pareada-ca_naurell08224-51666844352_100200/,Anuncio actualizado el 11/02/2025,"G, G","G, G",valles_occidental_nord (BCN),218 m²,,4,1,,,Más de 50 años,En buen estado,TC698-608669,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,Pareada,,,
Piso en Carrer de Joaquín Costa,URBE GRUP,2.313 €/m²,229.000 €,99 m²,https://www.pisos.com/comprar/piso-escola_industrial_placa_de_catalunya08222-50067045526_455500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),99 m²,90 m²,3,2,6ª,N/A,Más de 50 años,A estrenar,4555-JF033711,Lacadas,Parquet,PVC,,Diseño,24m²,,,,N/A,9m²,Oeste,Climalit mosquiteras,Frío y calor,Central,,,,,,,,,,N/A,N/A,,Oeste,N/A,,Entre 40 y 60 €,N/A,,,,,,
Piso en Carrer de Núria,CICLOACTIVOS S.L.,1.128 €/m²,79.000 €,70 m²,https://www.pisos.com/comprar/piso-centre_barrio08224-91725260038_991803/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),70 m²,70 m²,3,1,5ª,,,En buen estado,4991803-31365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Pere,Estudi Projecte Sant Pere Nord Slu,2.880 €/m²,242.000 €,84 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08226-51766153643_100200/,Anuncio actualizado el 15/02/2025,"F, E","F, E",valles_occidental_nord (BCN),84 m²,,2,1,,,Entre 30 y 50 años,En buen estado,TC973-607715,,,,,,,,,,,N/A,,,,,,,,,,1,,,,,N/A,N/A,,,,,,,,,,,
Casa unifamiliar en Sant Pere Nord,Estudi Projecte Sant Pere Nord Slu,1.173 €/m²,269.900 €,230 m²,https://www.pisos.com/comprar/casa_unifamiliar-sant_pere_nord08226-50075992892_100200/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),230 m²,,3,1,,,Más de 50 años,En buen estado,TC973-603745,,,,,,,,,,,N/A,,,,N/A,,,,,,1,,,,,,,,,,,,,,Unifamiliar,,,
Casa pareada en La Soleia del Cosidor,Toni Tió Pardo,1.657 €/m²,585.000 €,353 m²,https://www.pisos.com/comprar/casa_pareada-castellar_del_valles_centro_urbano-49227172306_109300/,Anuncio actualizado el 25/01/2025,"E, E","E, E",valles_occidental_nord (BCN),353 m²,247 m²,4,5,,,,,EP751-FDR,,,,,N/A,,N/A,N/A,,,N/A,,,,Aerotermia,,,,,,N/A,N/A,,,,N/A,,,,,,,N/A,,Pareada,,,
Casa pareada en Les Fonts,"ESTUDI RUBI, S.L.U.",2.023 €/m²,435.000 €,215 m²,https://www.pisos.com/comprar/casa_pareada-les_fonts08228-45909389660_100200/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),215 m²,,3,3,,,,En buen estado,TC208-589341,,Parquet,,,,,,,,,N/A,,,N/A,N/A,,,,,,1,Comunitario,,,,,,,,,,,Comunitaria,,Pareada,,,
Casa en Carrer de Blasco de Garay,"MAURI ASSESSORS, S.L.",1.476 €/m²,310.000 €,210 m²,https://www.pisos.com/comprar/casa-ca_naurell08224-45845864302_523835/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),210 m²,192 m²,6,2,,,,En buen estado,4523835-000136,,,,,,,,,,,,,,,,,,,135 m²,,,,,,,,,,,,,,,,,,,
Dúplex en Poble Nou,MES QUE FINQUES,1.590 €/m²,279.900 €,176 m²,https://www.pisos.com/comprar/duplex-can_boada_torrent_en_pere_parres08225-50090619857_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),176 m²,169 m²,3,2,2ª,,Entre 30 y 50 años,,SA5682-MQF0008/12116,,,,,,,,,,,N/A,Sureste,,,Gas natural,,,,,,,,N/A,,,,N/A,,,,,,,,,,,
Piso en Centre,URBE GRUP,2.473 €/m²,235.000 €,95 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-50910964912_455500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),95 m²,91 m²,3,1,1ª,N/A,Entre 10 y 20 años,Reformado,4555-JF033714,Haya,Parquet,Aluminio,,Americana al comedor,23m²,N/A,,,,,Este-oeste,Climalit,Frío y calor,Eléctrica,,,,,1,,,,,,,,N/A,N/A,,Entre 40 y 60 €,,,,,,,
Piso en Carrer de Sant Cosme,HELLOFINCA.,1.057 €/m²,239.000 €,226 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-50931139806_527713/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),226 m²,226 m²,9,2,1ª,N/A,Entre 30 y 50 años,A reformar,4527713-000063,,Parquet,Madera,,Independiente,Independiente,N/A,,Con cámara,N/A,N/A,Noreste,N/A,Frío y calor,Gas natural,,,,,1,,,,,,,,N/A,N/A,,Entre 40 y 60 €,,,,,N/A,Vigilancia 24h,
Casa en Antic Poble de Sant Pere,URBE GRUP,2.045 €/m²,360.000 €,176 m²,https://www.pisos.com/comprar/casa-antic_poble_de_sant_pere-50921047050_455500/,Anuncio actualizado el 19/02/2025,"G, G","G, G",valles_occidental_nord (BCN),176 m²,150 m²,4,2,,,Entre 30 y 50 años,A reformar,4555-033721,Embero,Gres,Aluminio,Comedor,10 ext,24,,,,,,Sur,N/A,,Gas natural,N/A,N/A,N/A,,2,Más de 2,,,,N/A,,,,N/A,,,,,,,,,
Casa en Matadepera,GESTIONS IMMOBILIARIES SILVIA,2.335 €/m²,1.950.000 €,835 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-49179271693_308400/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_occidental_nord (BCN),835 m²,808 m²,12,11,,,Entre 30 y 50 años,En buen estado,3084-24098,,Parquet y suelos de terrazo,Madera,2 chimeneas,2 cocinas,3  comedores  + 3 salones,N/A,,,N/A,60  +30,Sur,,Frío y calor,Gasoil,N/A,N/A,N/A,4.000 m²,Más de 2,2,Privado,,,,,,,N/A,,,N/A,Propia,N/A,,,,
Piso en Escola Industrial-Plaça de Catalunya,URBE GRUP,2.239 €/m²,215.000 €,96 m²,https://www.pisos.com/comprar/piso-escola_industrial_placa_de_catalunya08222-51714987844_455500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),96 m²,85 m²,3,2,Bajo,N/A,Entre 20 y 30 años,En buen estado,4555-033726,Roble,Terrazo,Aluminio,,9 ext,24 ext,4 int,,N/A,N/A,,Oeste,Climalit,,Gas natural,,,,,,1,,,,N/A,N/A,,N/A,N/A,,Entre 40 y 60 €,N/A,,,,,,
"Piso en Obra Nueva Finalizada, en Pleno Casco Histórico",donpiso Central,3.397 €/m²,265.000 €,78 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-42598236161_109100/,Anuncio actualizado el 20/02/2025,"A, A","A, A",valles_occidental_nord (BCN),78 m²,55 m²,2,2,1ª,,,,FE4-281338,,,,,,,,,,,,,,,,,,,,,,N/A,,,,N/A,,,,,Entre 60 y 80 €,,N/A,,,,,
Casa adosada en Roc Blanc,FERRAN CORDOBA,2.135 €/m²,249.900 €,117 m²,https://www.pisos.com/comprar/casa_adosada-roc_blanc-50008227615_516344/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),117 m²,110 m²,3,2,,,Entre 20 y 30 años,Reformado,516344-VFA0122,Haya vaporizada,Gres,Aluminio,,N/A,N/A,N/A,,,N/A,,Norte/sur,,Frío y calor,Eléctrica,N/A,N/A,N/A,157 m²,,,,,,,,,,N/A,,,,,N/A,Adosada,,,
"Piso en Carrer de Marinel·lo Bosch, 31",Finques la Llar,2.086 €/m²,240.000 €,115 m²,https://www.pisos.com/comprar/piso-cementiri_vell08222-48342187091_135200/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),115 m²,105 m²,4,2,2ª,Comedor + 2 hab.,Entre 30 y 50 años,En buen estado,1352-006931,Chapado roble,Parquet y gres,Aluminio,,8m²,21m²,2m²,,N/A,,,Sur,,,Gas natural,,,,,,1,,,,N/A,N/A,N/A,N/A,,2hab + baños,58 €/mes,,,N/A,,,,
Dúplex en Vista Alegre,URBE GRUP,2.032 €/m²,243.900 €,120 m²,https://www.pisos.com/comprar/duplex-terrassa_vista_alegre-50909916332_455500/,Anuncio actualizado el 19/02/2025,"F, E","F, E",valles_occidental_nord (BCN),120 m²,110 m²,3,2,2ª,N/A,Entre 20 y 30 años,Reformado,4555-JF033722,Roble,Terrazo,Aluminio,,Independiente,20m²,N/A,,,N/A,20m²,,N/A,Frío y calor,Central,,,,,1,,,,,N/A,,N/A,N/A,N/A,,Entre 40 y 60 €,,,,,,,
Piso en Ca n'Aurell,GRUPO INMOBILIARIO ORTEGA,2.944 €/m²,265.000 €,90 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-50878016668_108500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),90 m²,90 m²,3,2,,N/A,,,AG584-11105,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
