nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
Chalet en Galapagar,Gilmar Villalba,2.660 €/m²,745.000 €,280 m²,28061,https://www.pisos.com/comprar/chalet-galapagar_la_navata28420-30893667588_102100/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,280 m²,,3,2,,,,,GM13-180563,,,,,,,,,,,,,,,,,,,N/A,,Oeste,,,,7.871 m²,,,,,,,,,,,,,
Chalet en calle del Prado Tornero,Hogares El Escorial,3.135 €/m²,899.900 €,287 m²,28054,https://www.pisos.com/comprar/chalet-centro_parque_de_la_manguilla-50874830839_101800/,2025-01-23,Error al procesar consumo,Error al procesar emisiones,287 m²,,5,4,,,Más de 50 años,,IF77054-sanquintin,1,,,,,,,Central,,N/A,,1,,,,,,N/A,Privado,Propia,,,,N/A,1.251 m²,N/A,,,,,,,,,,,,
Casa en El Boalo,Engel & Völkers Madrid,1.430 €/m²,495.000 €,346 m²,28023,https://www.pisos.com/comprar/casa-el_boalo-41730012753_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,346 m²,,6,2,,,Más de 50 años,,IF77045-I-00Y003-W-02UKD0,1,,,,,,,Central,,N/A,,1,,,,,,,Privado,Propia,A la montaña,,,,1.187 m²,,,,,,,,,,,,,
Chalet en calle de las Rosas,Hogares El Escorial,1.738 €/m²,639.900 €,368 m²,28054,https://www.pisos.com/comprar/chalet-pinosol_el_alcor_peralejo28219-48407855056_101800/,2025-01-23,Error al procesar consumo,Error al procesar emisiones,368 m²,,5,2,,,Más de 50 años,,IF77054-ROSAS,1,,,,,,,Central,,N/A,,1,,,,,,N/A,Privado,Propia,,,,N/A,1.800 m²,,,,,,,,,,,,,
Piso en Centro,Estudio Galapagar Plaza Slu,1.930 €/m²,139.000 €,72 m²,28061,https://www.pisos.com/comprar/piso-galapagar_centro-44250758827_100200/,2025-01-30,"C, C","C, C",72 m²,,1,1,1ª,,Entre 10 y 20 años,En buen estado,TC1115-582885,,,,,,,,,,,,,N/A,,,,N/A,,,,,,,,,,,Más de 100 €,,,,,,,,,,
Casa adosada en Sector S,ESTUDIO BOADILLA DEL MONTE,2.773 €/m²,660.000 €,238 m²,28022,https://www.pisos.com/comprar/casa_adosada-sector_s28660-48424376792_100200/,2024-10-22,Error al procesar consumo,Error al procesar emisiones,238 m²,,5,2,,,Entre 20 y 30 años,En buen estado,TC369-596874,,,,,,,N/A,N/A,,N/A,,1,,,,,,N/A,N/A,Propia,,,Adosada,,,,,Más de 100 €,,,,,,,,,,
Piso en Zona Norte,"ESTUDIO MAJADAHONDA, S.L.U.",5.677 €/m²,352.000 €,62 m²,28080,https://www.pisos.com/comprar/piso-majadahonda_zona_norte28220-50848358920_100200/,2025-01-10,"E, E","E, E",62 m²,,2,2,1ª,,Entre 20 y 30 años,En buen estado,TC66-605189,,,,,,,N/A,Central,,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Casa en Colonia,VIITA GRUPO INMOBILIARIO,6.388 €/m²,1.859.000 €,291 m²,28152,https://www.pisos.com/comprar/casa-colonia-51722326596_528919/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,291 m²,250 m²,6,2,,,,A reformar,4528919-Torrrelodones,Más de 2,,Terrazo,,Madera,N/A,Frío y calor,Gas natural,N/A,,,Más de 2,,,,,,N/A,Privado,Propia,A la montaña,,,,4.462 m²,,,,,N/A,N/A,N/A,N/A,,,,,
Piso en Zona calle Casa Amarilla,Estudio Galapagar Plaza Slu,2.920 €/m²,146.000 €,50 m²,28061,https://www.pisos.com/comprar/piso-zona_calle_casa_amarilla28260-50090847007_100200/,2024-12-09,"E, E","E, E",50 m²,,2,1,,,Más de 50 años,Reformado,TC1115-602123,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Villaviciosa de Odón,HOGARES VILLAVICIOSA DE ODON,2.126 €/m²,924.900 €,435 m²,28181,https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_el_bosque28670-47578757725_100500/,2024-11-15,"E, E","E, E",435 m²,,5,5,,,Entre 30 y 50 años,,SA5368-00097/10248,1,,,,,,N/A,Gas natural,,,,1,N/A,,,,,N/A,N/A,Propia,,,,,1.700 m²,,,,,,,,,,,,,
Casa adosada en calle Sierra De Albarracín,Aliseda Inmobiliaria,1.358 €/m²,530.000 €,390 m²,28176,https://www.pisos.com/comprar/casa_adosada-villanueva_de_la_canada_nucleo_urbano-37545208157_107000/,2024-12-20,Error al procesar consumo,Error al procesar emisiones,390 m²,,4,3,,,,,AS1-31103681,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,,,,,,,,,,,
Chalet en Santa María de la Alameda,CASA 10 ASESORES,1.027 €/m²,149.000 €,145 m²,28135,https://www.pisos.com/comprar/chalet-santa_maria_de_la_alameda_centro_urbano-49210224798_100500/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,145 m²,135 m²,4,2,,,,A reformar,SA3768-340137,,,,,,,,,,,,,,,,,,,N/A,,Sur,,,,450 m²,,,,,,,,,,,,,
Chalet en calle Camino de Valladolid,EXXACON,3.105 €/m²,795.000 €,256 m²,28152,https://www.pisos.com/comprar/chalet-torrelodones_casco_antiguo-4952150483_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,256 m²,,3,3,,,,A estrenar,4527992-21597886,,,,,,,,,,,,N/A,,,,,,N/A,Privado,,,,,,,,,,,,,,,,,,,
Piso en calle de Serafín Gómez Bonilla,INMOIBERIA,2.200 €/m²,132.000 €,60 m²,28047,https://www.pisos.com/comprar/piso-carlos_ruiz-51696282203_527269/,2025-02-14,"E, E","E, E",60 m²,47 m²,3,1,2ª,N/A,Más de 50 años,En buen estado,527269-9001-1-21407,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Joaquín Turina,ÁTICO A INMOBILIARIA,5.185 €/m²,700.000 €,135 m²,28080,https://www.pisos.com/comprar/piso-golf_el_carralero28222-51765328340_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,135 m²,,4,3,,,,,IF7034-MAJADAHONDA,1,,,,,,,,,,,1,,,,,N/A,,,Comunitaria,,,,,,,,,,,,,,,,,,
Casa en Monte Alina-La Cabaña,Engel & Völkers Madrid,3.419 €/m²,2.390.000 €,699 m²,28115,https://www.pisos.com/comprar/casa-monte_alina_la_cabana-49178196349_101800/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,699 m²,,5,5,,,Entre 20 y 30 años,,IF77045-I-00YUGQ-W-02XL39,1,,,,,,,Central,,,,1,,,,,,N/A,Privado,Propia,,,,,1.549 m²,,,,,,,,,,,,,
Piso en calle del Maestro Serrano,Aliseda Inmobiliaria,1.485 €/m²,159.000 €,107 m²,28047,https://www.pisos.com/comprar/piso-carlos_ruiz-48404079402_107000/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,107 m²,,3,1,,,,,AS1-23940764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Pinosol-El Alcor-Peralejo,Hogares El Escorial,1.602 €/m²,419.900 €,262 m²,28054,https://www.pisos.com/comprar/chalet-pinosol_el_alcor_peralejo28219-49199265893_101800/,2024-11-19,Error al procesar consumo,Error al procesar emisiones,262 m²,,6,3,,,,,IF77054-CHALET PINOSOL,1,,,,,,,Central,,N/A,,1,,,N/A,N/A,,N/A,Privado,Propia,,,,,920 m²,N/A,,,,,,,,,,,,
Casa en Plaza de la Coronación,Aliseda Inmobiliaria,3.202 €/m²,285.000 €,89 m²,28115,https://www.pisos.com/comprar/casa-pueblo28223-25069827817_107000/,2025-01-17,Error al procesar consumo,Error al procesar emisiones,89 m²,,1,1,,,,,AS1-ALI0000152271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Jarabeltrán,ELEPHANT REAL ESTATE,2.712 €/m²,830.000 €,306 m²,28160,https://www.pisos.com/comprar/chalet-valdemorillo_centro_urbano-48360754869_100500/,2025-02-20,"E, E","E, E",306 m²,300 m²,6,4,,,Entre 10 y 20 años,,SA2135-06664/7619,1,,,,,,,N/A,N/A,,N/A,,N/A,,N/A,N/A,,N/A,N/A,Propia,Este,,,,1.240 m²,,,Entre 80 y 100 €,N/A,,N/A,,,,,,,
"Piso en calle de las Eras de Móstoles, 11",M&M INMOBILIARIA,6.746 €/m²,283.373 €,42 m²,28176,https://www.pisos.com/comprar/piso-villanueva_de_la_canada_nucleo_urbano-46728094395_514966/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,42 m²,36 m²,1,1,2ª,N/A,Menos de 5 años,A estrenar,4514966-B3-2A,1,N/A,Gres,N/A,PVC,,,Aerotermia,,N/A,N/A,1,,N/A,N/A,,N/A,,Comunitario,,,,,,,,,,,,,,,,,,,
Piso en Golf-El Carralero,"ESTUDIO MAJADAHONDA CENTRO 2014, S.L.",4.285 €/m²,450.000 €,105 m²,28080,https://www.pisos.com/comprar/piso-golf_el_carralero28220-51706282648_100200/,2025-02-20,"E, E","E, E",105 m²,,2,2,,,Más de 50 años,En buen estado,TC309-609682,,,,,,,,N/A,,,,1,N/A,,,,N/A,,,N/A,,,,,,,,Más de 100 €,,,,,,,,,,
"Piso en calle de María Blanchard, nº -",ALTAMIRA,3.417 €/m²,540.000 €,158 m²,28127,https://www.pisos.com/comprar/piso-europolis_montecillo_navalcarbon28232-35040023942_103600/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,158 m²,124 m²,3,2,,,,,AM9-2302##33000517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en El Bosque,ELEPHANT ROOM VILLALBA,2.372 €/m²,1.400.000 €,590 m²,28181,https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_el_bosque28670-51709607305_100500/,2025-02-07,"E, E","E, E",590 m²,584 m²,6,7,,,Entre 30 y 50 años,,SA3036-06879/7622,1,,,,,,N/A,N/A,N/A,,,1,N/A,,N/A,N/A,,N/A,N/A,Propia,Sur,,,,2.047 m²,N/A,,Más de 100 €,,,N/A,,,,,,,
"Chalet en calle Avenida Acacias Las, nº 5",ASRHOME,2.451 €/m²,760.000 €,310 m²,28068,https://www.pisos.com/comprar/chalet-guadarrama_centro_urbano-45065897869_100500/,2025-01-28,"A, A","A, A",310 m²,197 m²,4,4,,,Menos de 5 años,,SA5061-00065/11014,1,,,,,,N/A,N/A,,,,,,,N/A,,,,N/A,Propia,,,,,,N/A,,,N/A,,,,,,,,,
Casa en Urbanización Buena Vista,HOGARES VILLALBA ESTACION,177 €/m²,740.000 €,4.164 m²,28047,https://www.pisos.com/comprar/casa-dehesa_el_soto-48404889486_525831/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,4.164 m²,583 m²,4,4,,,Más de 50 años,En buen estado,4525831-316503,Más de 2,,,,,,,Gasoil,N/A,,,1,,,,,,N/A,Privado,Propia,Noreste,,,,,,,,,,,,,,,,,
Chalet en Estación-Zona Norte,REMAX URBE,2.746 €/m²,1.700.000 €,619 m²,28115,https://www.pisos.com/comprar/chalet-estacion_zona_norte28224-45928801077_100500/,2024-07-08,Error al procesar consumo,Error al procesar emisiones,619 m²,,5,6,,,Entre 30 y 50 años,En buen estado,SA2484-3516-00380,1,,,,,,N/A,,,,,1,N/A,,,,,N/A,N/A,N/A,Norte,,,,1.000 m²,,,,,,,,,,,,,
Casa adosada en calle de Joaquín Zurita,REMAX URBE,2.814 €/m²,850.000 €,302 m²,28022,https://www.pisos.com/comprar/casa_adosada-sector_s28660-49202510003_100500/,2024-11-14,Error al procesar consumo,Error al procesar emisiones,302 m²,,5,3,,,Entre 20 y 30 años,En buen estado,SA2484-3248-24270,1,,,,,,,,,,,1,N/A,,,,,N/A,N/A,,Este,,Adosada,,200 m²,,,,,,,,,,,,,
Chalet en Torrelodones Casco Urbano,Gilmar Villalba,3.548 €/m²,1.100.000 €,310 m²,28152,https://www.pisos.com/comprar/chalet-zona_hospital_hm_torrelodones-51735641604_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,310 m²,,5,5,,,,,GM13-204734,,,,,,,,,,,,1,,,,,,,N/A,N/A,,,,,476 m²,,,,,,,,,,,,,
Piso en Paseo de Miguel de Unamuno,MR. HOUSE REAL ESTATE,3.500 €/m²,175.000 €,50 m²,28131,https://www.pisos.com/comprar/piso-abantos_monte_carmelo_el_rosario-42541036797_100500/,2025-02-01,"G, E","G, E",50 m²,,1,1,1ª,N/A,,,SA208-8421AS-RB,1,,,,,,,,,Cocina amueblada,,1,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en Avenida de las Acacias,REMAX URBE,1.367 €/m²,715.000 €,523 m²,28068,https://www.pisos.com/comprar/chalet-guadarrama_centro_urbano-46735679966_100500/,2025-01-13,"E, E","E, E",523 m²,312 m²,6,5,,,Más de 50 años,En buen estado,SA2484-3248-24053,1,,,,,,,,,,,1,N/A,,,,,N/A,N/A,N/A,Norte,,,,1.689 m²,,,,,,,,,,,,,
Casa pareada en calle Pintor Zuloaga,CAPITAL HOME NAVALCARNERO,2.508 €/m²,710.000 €,283 m²,28176,https://www.pisos.com/comprar/casa_pareada-villanueva_de_la_canada_nucleo_urbano-51758966464_101800/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,283 m²,,5,4,,,Entre 20 y 30 años,,IF76877-Chalet Pareado Villanueva de la Cañada,1,,,,,,,Central,,N/A,,1,N/A,,,,,,Privado,,,,Pareada,,419 m²,N/A,,,,,,,,,,,,
Chalet en Torrelodones Casco Urbano,Gilmar Villalba,3.709 €/m²,1.150.000 €,310 m²,28152,https://www.pisos.com/comprar/chalet-zona_hospital_hm_torrelodones-51736071400_102100/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,310 m²,,5,5,,,,,GM13-204736,,,,,,,,,,,,2,,,,,,,N/A,N/A,,,,,491 m²,,,,,,,,,,,,,
Casa pareada en Puerto de Galapagar-Las Cuestas,REMAX HORIZON Las Rozas,2.650 €/m²,795.000 €,300 m²,28061,https://www.pisos.com/comprar/casa_pareada-puerto_de_galapagar_las_cuestas28260-51762814215_100500/,2025-02-20,"C, C","C, C",300 m²,,6,4,,,Entre 20 y 30 años,En buen estado,SA2483-3367-04432,1,,,,,,,,,,,1,N/A,,,,,N/A,N/A,,Sur,,Pareada,,451 m²,,,Más de 100 €,,,,,,,,,,
Chalet unifamiliar en Avenida del Castillo,STAR´S HOUSE C.B.,1.997 €/m²,899.000 €,450 m²,28181,https://www.pisos.com/comprar/chalet_unifamiliar-castillo_campodon-48388100805_514034/,2024-10-24,Error al procesar consumo,Error al procesar emisiones,450 m²,440 m²,6,4,,,Entre 30 y 50 años,En buen estado,4514034-13347348,Más de 2,N/A,Parquet,,Aluminio,,,Gasoil,N/A,N/A,N/A,2,,,N/A,N/A,,N/A,Privado,Propia,Sureste,,,N/A,1.800 m²,,,,,,N/A,N/A,N/A,,,,,
Casa adosada en La Finca,IBERCORP,2.709 €/m²,1.490.000 €,550 m²,28115,https://www.pisos.com/comprar/casa_adosada-la_finca-945856909290204_109700/,2024-08-01,Error al procesar consumo,Error al procesar emisiones,550 m²,500 m²,4,5,,,Entre 10 y 20 años,Reformado,4998317-Adosado Esq,Más de 2,,Tarima flotante,N/A,Madera,,Frío,Gas natural,N/A,N/A,N/A,Más de 2,,,N/A,N/A,,N/A,Privado,Propia,Suroeste,,Adosada,N/A,120 m²,,,Más de 100 €,N/A,N/A,N/A,N/A,N/A,,N/A,,,
"Chalet en Carretera a Matalpino, 358",ARTY CONSULTORES,1.296 €/m²,382.600 €,295 m²,28090,https://www.pisos.com/comprar/chalet-moralzarzal_centro_urbano-44199388003_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,295 m²,290 m²,4,3,,,Más de 50 años,,SA1968-RLGS0029/7104,,,,,,,,,,,,,,,,,,N/A,N/A,Comunitaria,,,,,,,,,,,N/A,,,,,,,
Chalet en Centro (Villaviciosa de Odon),HOGARES VILLAVICIOSA DE ODON,2.957 €/m²,839.900 €,284 m²,28181,https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_centro-49257435233_100500/,2024-11-15,"E, E","E, E",284 m²,,3,2,,,Más de 50 años,,SA5368-00102/10248,1,,,,,,N/A,Gas natural,,,,1,,,,,,N/A,N/A,Comunitaria,,,,,,,,,,,,,,,,,,
Chalet en calle del Levante,VISTA HOMES,2.400 €/m²,1.800.000 €,750 m²,28080,https://www.pisos.com/comprar/chalet-zona_carretera_del_plantio28221-51729610670_522706/,2025-02-13,"E, E","E, E",750 m²,600 m²,7,8,,,Entre 30 y 50 años,En buen estado,4522706-VIS-379,Más de 2,,,,,,Frío,Gasoil,N/A,N/A,N/A,Más de 2,,,N/A,,,N/A,Privado,Propia,,,,,2.007 m²,,,,,,N/A,N/A,N/A,,,,,
Chalet en Moralzarzal,Gilmar Villalba,1.824 €/m²,540.000 €,296 m²,28090,https://www.pisos.com/comprar/chalet-moralzarzal_centro_urbano-51678655480_102100/,2025-02-09,Error al procesar consumo,Error al procesar emisiones,296 m²,,4,2,,,,,GM13-201526,,,,,,,,,,,,,,,,,,,N/A,,,,,,709 m²,,,,,,,,,,,,,
Dúplex en Avenida Felipe II,Hogares El Escorial,2.747 €/m²,359.900 €,131 m²,28054,https://www.pisos.com/comprar/duplex-jardin_de_los_reyes_parque_real28280-50058997155_101800/,2024-12-13,Error al procesar consumo,Error al procesar emisiones,131 m²,,4,2,3ª,,Más de 50 años,,IF77054-JUANDEAUSTRIA,1,,,,,,,Central,,N/A,,1,N/A,,N/A,,N/A,N/A,,Comunitaria,,,,,,N/A,,,,,,,,,,,,
Casa pareada en Camino Ermita,SANCHEZ RUBIO INMOBILIARIA,2.342 €/m²,260.000 €,111 m²,28125,https://www.pisos.com/comprar/casa_pareada-robledo_de_chavela_centro_urbano-51731115389_101800/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,111 m²,,3,3,,,Entre 10 y 20 años,,IF6229-VE-1796,1,,,,,,,,,N/A,,,,,,,,N/A,Privado,,,,Pareada,,256 m²,,,,,,,,,,,,,
Piso en Guadarrama,Estudio Nuevo Guadarrama Sl,1.790 €/m²,179.000 €,100 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-44185991406_100200/,2025-01-16,"E, E","E, E",100 m²,,3,2,,,Entre 30 y 50 años,En buen estado,TC948-582365,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Miguel Ángel Cantero Oliva,  s/n",Residencial INBISA Viñas Viejas,2.479 €/m²,887.700 €,358 m²,28022,https://www.pisos.com/comprar/piso-vinas_viejas-4918143709_109700/,2025-01-16,Error al procesar consumo,Error al procesar emisiones,358 m²,,3,3,Bajo,,,A estrenar,4529094-21545928,,,,,,,,,,,,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Piso en El Bosque,"ESTUDIO VILLAVICIOSA DE ODON, S.L.U.",4.590 €/m²,459.000 €,100 m²,28181,https://www.pisos.com/comprar/piso-villaviciosa_de_odon_el_bosque28670-51755116796_100200/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,100 m²,,2,2,,,Entre 30 y 50 años,En buen estado,TC304-608900,,,Mármol,,,,N/A,,,,,,,,,,,,N/A,Comunitaria,,,,,,,,,,,,,,,,,,
Casa pareada en calle de los Cortijos,CASA 10 ASESORES,1.169 €/m²,249.000 €,213 m²,28159,https://www.pisos.com/comprar/casa_pareada-valdemaqueda_centro_urbano-48397660851_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,213 m²,205 m²,5,2,,,Entre 20 y 30 años,En buen estado,SA3768-114018,1,,,,,,,Central,,,,1,N/A,,,,,N/A,N/A,,,,Pareada,,435 m²,,,,,,,,,,,,,
Casa adosada en calle de Diego de Argumosa,INMOGES,2.603 €/m²,880.000 €,338 m²,28022,https://www.pisos.com/comprar/casa_adosada-vinas_viejas-28409505264_101800/,2024-05-21,"A, A","A, A",338 m²,,3,4,,,,En buen estado,IF6199-2349,1,,Parquet,,,,Frío,Gas natural,,N/A,,1,N/A,,N/A,N/A,,N/A,,Comunitaria,Este,,Adosada,N/A,135 m²,N/A,,,,,,,,,,,,
"Chalet en Avenida de las Acacias, 5",ASRHOME,2.451 €/m²,760.000 €,310 m²,28068,https://www.pisos.com/comprar/chalet-guadarrama_centro_urbano-40014775450_100500/,2025-01-30,"A, A","A, A",310 m²,197 m²,4,4,,,Menos de 5 años,,SA5061-102033300/11014,1,,,,,,N/A,N/A,,,,,,,N/A,,,,N/A,Propia,,,,,,N/A,,,N/A,,,,,,,,,
Chalet en Galapagar,Gilmar Villalba,2.088 €/m²,470.000 €,225 m²,28061,https://www.pisos.com/comprar/chalet-el_encinar_vista_nevada_la_quinta_del_praderon2829-51724293137_102100/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,225 m²,,5,2,,,,,GM13-205683,,,,,,,,,,,,1,,,,,,,,N/A,,,,,473 m²,,,,,,,,,,,,,
Casa pareada en Zona Estación,eXp Realty,4.773 €/m²,1.389.000 €,291 m²,28115,https://www.pisos.com/comprar/casa_pareada-estacion_zona_norte28224-48361034524_100500/,2025-01-20,Error al procesar consumo,Error al procesar emisiones,291 m²,230 m²,4,4,,,,,SA3689-EXP08369/8930,,,,,,,,N/A,N/A,,N/A,1,N/A,,,,,N/A,N/A,N/A,,,Pareada,,251 m²,,,,N/A,,N/A,,,,,,,
Chalet en calle de Prados del Hoyo,CASA 10 ASESORES,442 €/m²,85.000 €,192 m²,28159,https://www.pisos.com/comprar/chalet-valdemaqueda_centro_urbano-48419951927_100500/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,192 m²,,1,1,,,Entre 20 y 30 años,En buen estado,SA3768-114016,,,,,,,,,,,,,,,,,,,,,,,,,410 m²,,,,,,,,,,,,,
Chalet en Mataelpino,Gilmar Villalba,2.047 €/m²,555.000 €,271 m²,28023,https://www.pisos.com/comprar/chalet-mataelpino-46719880656_102100/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,271 m²,,4,3,,,,,GM13-196066,,,,,,,,,,,,,,,,,,,N/A,,Oeste,,,,583 m²,,,,,,,,,,,,,
Chalet en Guadarrama,Gilmar Villalba,3.278 €/m²,764.000 €,233 m²,28068,https://www.pisos.com/comprar/chalet-sanatorio_de_guadarrama-51714553248_102100/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,233 m²,,5,3,,,,,GM13-204176,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,4.982 m²,,,,,,,,,,,,,
Chalet en Boadilla del Monte - Las Lomas,INMOGES,2.187 €/m²,3.500.000 €,1.600 m²,28022,https://www.pisos.com/comprar/chalet-valdepastores_pino_centinela_las_encinas28669-48359942006_101800/,2024-10-04,Error al procesar consumo,Error al procesar emisiones,1.600 m²,,8,7,,,,En buen estado,IF6199-424-B,,,Gres,,,,Frío,Central,,N/A,,1,N/A,,N/A,N/A,,N/A,,Propia,,,,,4.810 m²,,,,,,,,,,,,,
"Casa en calle de la Proa, nº .",Housfy real Estate,3.776 €/m²,1.250.000 €,331 m²,28115,https://www.pisos.com/comprar/casa-somosaguas_humera_los_angeles28223-45908901586_109300/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,331 m²,331 m²,6,5,,,,,EP442-775667,,,,,,,,N/A,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
Chalet en calle de Lugo,Hogares El Escorial,1.288 €/m²,579.900 €,450 m²,28054,https://www.pisos.com/comprar/chalet-pinosol_el_alcor_peralejo28219-43351200000_101800/,2024-11-14,"B, A","B, A",450 m²,,6,4,,,Entre 10 y 20 años,,IF77054-PINOSOL,1,,,,,,,Central,,N/A,,1,,,N/A,N/A,,N/A,Privado,Propia,,,,N/A,1.536 m²,,,,,,,,,,,,,
Casa adosada en Avenida Chaparra,Aliseda Inmobiliaria,236 €/m²,151.530 €,640 m²,28044,https://www.pisos.com/comprar/casa_adosada-colmenarejo_centro_urbano-37573485351_107000/,2024-12-20,Error al procesar consumo,Error al procesar emisiones,640 m²,,3,2,,,,,AS1-47337194,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,,,,,,,,,,,
Casa en Estación-Zona Norte,Engel & Völkers Madrid,4.350 €/m²,1.640.000 €,377 m²,28115,https://www.pisos.com/comprar/casa-estacion_zona_norte28224-51689898238_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,377 m²,,5,6,,,,,IF77045-I-00Z1XV-W-02YC4H,1,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,Privado,Propia,,,,N/A,334 m²,,,,,,,,,,,,,
Chalet en calle de la Paz,Asian Consulting,1.839 €/m²,264.900 €,144 m²,28160,https://www.pisos.com/comprar/chalet-valdemorillo_centro_urbano-50886205903_109300/,2025-01-21,Error al procesar consumo,Error al procesar emisiones,144 m²,144 m²,4,3,,,,A reformar,EP613-538767,,,,,,,,N/A,,,,Comunitario 1 plazas,,,,,,10.00 m²,,,,,,,80 m²,,,,,,,,,,,,,
Chalet en Galapagar,Gilmar Villalba,2.372 €/m²,420.000 €,177 m²,28061,https://www.pisos.com/comprar/chalet-zona_club_deportivo_galapagar_los_almendros-45069984328_102100/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,177 m²,,4,2,,,,,GM13-198394,,,,,,,,,,,,,,,,,,,N/A,N/A,Sur,,,,142 m²,,,,,,,,,,,,,
"Piso en calle de las Eras de Móstoles, 11",M&M INMOBILIARIA,6.563 €/m²,301.940 €,46 m²,28176,https://www.pisos.com/comprar/piso-villanueva_de_la_canada_nucleo_urbano-46764874518_514966/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,46 m²,36 m²,1,1,2ª,N/A,Menos de 5 años,A estrenar,4514966-B3-2D,1,N/A,Gres,N/A,PVC,,,Aerotermia,,N/A,N/A,1,,N/A,N/A,,N/A,,Comunitario,,,,,,,,,,,,,,,,,,,
Chalet en Torrelodones,SAPRIAN HOMES,1.805 €/m²,695.000 €,385 m²,28152,https://www.pisos.com/comprar/chalet-bellavista_salud_y_alegria-51668140738_100500/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,385 m²,,5,5,,,,En buen estado,SA5134-SH-Las Rozas 122,1,,,,,,Frío,N/A,,,,1,N/A,,,,,N/A,Privado,Propia,Noreste,,,,750 m²,,,,,,,,,,,,,
Piso en Alpedrete,"PRADESA , Real Estate",3.189 €/m²,236.000 €,74 m²,28010,https://www.pisos.com/comprar/piso-alpedrete_centro_urbano-92835794592_212600/,2025-02-09,Error al procesar consumo,Error al procesar emisiones,74 m²,74 m²,2,2,1ª,N/A,Más de 50 años,,2126-000499,3 vestidos,Pino,Gress,,Climalit,,,Gasoil,,Amueblada y equipada,Salon 15 m²,N/A,N/A,N/A,N/A,,,,,,N/o,N/A,,,,,N/A,36€/mes,,,,,,,,,,
