nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Conservación,Gastos de comunidad,Referencia,Armarios empotrados,Tipo suelo,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Tipo de casa,Vidrios dobles,Cocina equipada,Puerta blindada,Trastero,Orientación,Planta,Exterior,Carpintería exterior,Ascensor,Adaptado a personas con movilidad reducida,Superficie solar,Agua,Chimenea,Comedor,Soleado,Amueblado,Sistema de seguridad,Carpintería interior,Gas,Lavadero,Portero automático,Balcón,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Teléfono,Interior,No se aceptan mascotas,Luz
Casa en Oeste,PRISCASA,1.840 €/m²,736.000 €,400 m²,https://www.pisos.com/comprar/casa-mostoles_oeste28935-50911045750_510487/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,400 m²,380 m²,4,5,Más de 50 años,En buen estado,Entre 20 y 40 €,4510487-697282,Más de 2,Gres,Frío y calor,Gasoil,Más de 2,N/A,Privado,Propia,,,N/A,N/A,,Sur,,,Aluminio,,,500 m²,,N/A,Con chimenea,,N/A,,N/A,,N/A,,,N/A,N/A,N/A,,N/A,,,
Chalet en San Martín de Valdeiglesias,GARSIERRA,1.250 €/m²,315.000 €,252 m²,https://www.pisos.com/comprar/chalet-san_martin_de_valdeiglesias_centro_urbano-44252178353_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,252 m²,,5,3,,,,AG588-SAN MARTIN DE VALDEIGLESIAS,N/A,,,N/A,,,N/A,Comunitaria,,,,N/A,N/A,Sur,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Valderas-Los Castillos-Parque Lisboa,Grupo Inmobiliario Ares,2.064 €/m²,450.000 €,218 m²,https://www.pisos.com/comprar/atico-valderas_los_castillos_parque_lisboa28924-46694119971_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,218 m²,,4,2,,,,AG610-178,N/A,Parquet,N/A,Central,,No acristalada,,,,,,N/A,,Noreste,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Casco Urbano,Alfa Navas del Rey,1.251 €/m²,269.000 €,215 m²,https://www.pisos.com/comprar/casa_pareada-san_martin_de_valdeiglesias_centro_urbano-45022514126_101000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,215 m²,,5,3,,,,AF14-5972/832,Más de 2,,Frío,,,15,,,Pareada,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sur-Este,LOOK & FIND LaSagra,2.880 €/m²,288.000 €,100 m²,https://www.pisos.com/comprar/piso-sur_este28937-48337421630_101800/,Anuncio actualizado el 18/02/2025,"D, D","D, D",madrid_suroeste,100 m²,,3,2,Más de 50 años,,,IF7059-KZ0100,,,,Central,,,,,,,,N/A,,,3ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en calle de los Lilos,HOGARES ARROYOMOLINOS,1.829 €/m²,749.900 €,410 m²,https://www.pisos.com/comprar/chalet-coimbra_guadarrama-50880408134_525651/,Anuncio actualizado el 30/01/2025,"E, E","E, E",madrid_suroeste,410 m²,410 m²,5,6,Entre 20 y 30 años,En buen estado,,4525651-107129880,Más de 2,,Frío,,1,N/A,Privado,Propia,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Casa adosada en Cadalso de los Vidrios,M2 REAL ESTATE,833 €/m²,150.000 €,180 m²,https://www.pisos.com/comprar/casa_adosada-cadalso_de_los_vidrios_centro_urbano-48421406968_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,180 m²,150 m²,3,3,,,,SA606-1-9307463/1852,,,,,1,,,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Casco Antiguo,"ALCORCON 2012, S.L.U.",2.686 €/m²,180.000 €,67 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-51731363623_100200/,Anuncio actualizado el 18/02/2025,"E, E","E, E",madrid_suroeste,67 m²,,3,1,Más de 50 años,En buen estado,,TC142-609657,,,,,,N/A,,,,,N/A,,,,3ª,,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Norte-Universidad,DIASPER SERVICIOS INMOBILIARIOS,2.500 €/m²,230.000 €,92 m²,https://www.pisos.com/comprar/piso-norte_universidad28932-51683171245_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",madrid_suroeste,92 m²,,3,1,Entre 30 y 50 años,,,IF5413-C-3476,1,,,Central,,N/A,,,,,,,,,6ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Casco Antiguo,TRADER INMOBILIARIO,2.776 €/m²,186.000 €,67 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50043169305_997966/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,67 m²,67 m²,3,1,,En buen estado,,4997966-148083,,,,,1,,,,,,,N/A,,,3ª,N/A,,N/A,,,,,,,,,,,,N/A,,,,,,,,,
Piso en Centro,: Estudio Pradillo-Constitucion Sl,2.547 €/m²,349.000 €,137 m²,https://www.pisos.com/comprar/piso-mostoles_centro28931-40868726149_100200/,Anuncio actualizado el 20/02/2025,"E, E","E, E",madrid_suroeste,137 m²,,4,2,Entre 30 y 50 años,En buen estado,Más de 100 €,TC815-569951,,,N/A,,1,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Sur-Este,"ESTUDIO MOSTOLES 1,S.L.",2.565 €/m²,195.000 €,76 m²,https://www.pisos.com/comprar/piso-sur_este28936-48422640889_100200/,Anuncio actualizado el 11/02/2025,"A, A","A, A",madrid_suroeste,76 m²,,3,1,Más de 50 años,En buen estado,,TC187-596551,,Gres,,Central,,,,,,,N/A,,,,5ª,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de Leganés,EMPIRE REAL ESTATE PROPERTIES,3.677 €/m²,444.990 €,121 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28925-50854720344_100500/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,121 m²,91 m²,3,2,Entre 20 y 30 años,En buen estado,Más de 100 €,SA3932-EC-2635,1,Parquet,Frío,Eléctrica,1,,,Propia,,N/A,Cocina equipada,,,Sur,3ª,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Navalcarnero,Estudio Ciudad De Navalcarnero Sl,1.964 €/m²,275.000 €,140 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-51759334280_100200/,Anuncio actualizado el 11/02/2025,"E, E","E, E",madrid_suroeste,140 m²,,2,,Entre 10 y 20 años,En buen estado,,TC1137-608404,,,,N/A,1,,,Comunitaria,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en El Álamo,CAPITAL HOME NAVALCARNERO,2.199 €/m²,329.900 €,150 m²,https://www.pisos.com/comprar/casa_pareada-el_alamo_centro_urbano-51757256029_101800/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,150 m²,,4,3,Más de 50 años,,,IF76877-CH202513,1,,,Central,1,N/A,Privado,Propia,Pareada,,N/A,,,,,,,,,250 m²,,,,,N/A,,,,,,,,,,,,,,
Chalet pareado en calle de Camariñas,HOGARES ARROYOMOLINOS,2.421 €/m²,619.900 €,256 m²,https://www.pisos.com/comprar/chalet_pareado-zona_bulevar-50017806383_525651/,Anuncio actualizado el 30/01/2025,"E, E","E, E",madrid_suroeste,256 m²,256 m²,4,4,Entre 10 y 20 años,En buen estado,,4525651-106100247,Más de 2,,Frío,,1,N/A,Privado,Propia,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Casa adosada en calle Ancón,"Alfa 4 vientos (VBG Servicios Inmobiliarios, S.L.)",2.786 €/m²,599.000 €,215 m²,https://www.pisos.com/comprar/casa_adosada-las_retamas_prado_santo_domingo_ensanche_sur28922-49189107695_101000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,215 m²,,4,3,,,,AF207-2244/53,,,Frío,,,56,,N/A,Adosada,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de María Moliner, 44",HIJES GRUPO INMOBILIARIO,2.382 €/m²,529.000 €,222 m²,https://www.pisos.com/comprar/casa_adosada-mostoles_oeste28935-4640741294_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,222 m²,,3,3,,A estrenar,,4994518-21305839,Más de 2,,,,N/A,N/A,Privado,,Adosada,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle Sagitario,  s/n",HABITAT INMOBILIARIA,3.839 €/m²,529.900 €,138 m²,https://www.pisos.com/comprar/chalet-sur_este28938-5259483102_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,138 m²,,4,2,,A estrenar,,4990150-MPMA,,,,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle San Andrés. Esq C/ Labrador,  S/N",GESBRO,1.952 €/m²,220.604 €,113 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-4840324629_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,113 m²,,3,2,,A estrenar,,4525023-21493166,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de María Moliner, 44",HIJES GRUPO INMOBILIARIO,2.330 €/m²,529.000 €,227 m²,https://www.pisos.com/comprar/casa_adosada-mostoles_oeste28935-4609928666_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,227 m²,,3,3,,A estrenar,,4994518-21305836,Más de 2,,,,N/A,N/A,Privado,,Adosada,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Buenavista Sector I-6,  S/N",GESBRO,2.370 €/m²,253.600 €,107 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-5212903374_109700/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,107 m²,,3,2,,A estrenar,,4525023-0,,,,,N/A,N/A,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Buenavista Sector I-6,  S/N",GESBRO,2.377 €/m²,261.500 €,110 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-4778762076_109700/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,110 m²,,3,2,,A estrenar,,4525023-21430382,,,,,N/A,N/A,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de Somosierra,  s/n",BROSH,1.911 €/m²,414.900 €,217 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-3811730194_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,217 m²,,4,3,,A estrenar,,4525022-20466163,,,,,N/A,N/A,Privado,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle San Andrés. Esq C/ Labrador,  S/N",GESBRO,2.004 €/m²,204.464 €,102 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-4744686878_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,102 m²,,3,2,,A estrenar,,4525023-21349673,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Buenavista Sector I-6,  S/N",GESBRO,1.754 €/m²,263.200 €,150 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-5184616990_109700/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,150 m²,,3,2,,A estrenar,,4525023-0,,,,,N/A,N/A,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Buenavista Sector I-6,  S/N",GESBRO,2.370 €/m²,260.700 €,110 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-4807438335_109700/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,110 m²,,3,2,,A estrenar,,4525023-21430467,,,,,N/A,N/A,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de Somosierra,  s/n",BROSH,1.876 €/m²,431.600 €,230 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-4503409220_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,230 m²,,4,3,,A estrenar,,4525022-0,,,,,N/A,N/A,Privado,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle San Andrés. Esq C/ Labrador,  S/N",GESBRO,1.816 €/m²,205.300 €,113 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-4593407003_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,113 m²,,3,2,,A estrenar,,4525023-21200263,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ático en calle San Andrés. Esq C/ Labrador,  S/N",GESBRO,Error al procesar precio m²,245.164 €,3,https://www.pisos.com/comprar/atico-navalcarnero_centro_urbano-4951351621_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,,,3,2,,A estrenar,,4525023-21615526,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de María Moliner, 44",HIJES GRUPO INMOBILIARIO,2.374 €/m²,539.000 €,227 m²,https://www.pisos.com/comprar/casa_adosada-mostoles_oeste28935-4631254111_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,227 m²,,3,3,,A estrenar,,4994518-21305837,Más de 2,,,,N/A,N/A,Privado,,Adosada,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de María Moliner, 44",HIJES GRUPO INMOBILIARIO,2.418 €/m²,549.000 €,227 m²,https://www.pisos.com/comprar/casa_adosada-mostoles_oeste28935-4651290287_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,227 m²,,3,3,,A estrenar,,4994518-21305838,Más de 2,,,,N/A,N/A,Privado,,Adosada,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle San Andrés. Esq C/ Labrador,  S/N",GESBRO,1.764 €/m²,206.400 €,117 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-4730233842_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,117 m²,,3,2,,A estrenar,,4525023-21349669,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ático en calle Buenavista Sector I-6,  S/N",GESBRO,1.706 €/m²,325.900 €,191 m²,https://www.pisos.com/comprar/atico-navalcarnero_centro_urbano-4772185022_109700/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,191 m²,,4,2,,A estrenar,,4525023-21430449,,,,,N/A,N/A,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
"Chalet en Álamo, El",REDPISO SEVILLA LA NUEVA - EL ÁLAMO,1.023 €/m²,309.000 €,302 m²,https://www.pisos.com/comprar/chalet-el_alamo_centro_urbano-46682170537_104700/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,302 m²,262 m²,5,2,Más de 50 años,,,STA36-RP2792024129224,N/A,Terrazo,,Gasoil,2,N/A,N/A,N/A,,,,N/A,N/A,Suroeste,,,,,,,,,,,N/A,,,,,,,,,,,,,,
"Chalet en Álamo, El",REDPISO SEVILLA LA NUEVA - EL ÁLAMO,1.788 €/m²,329.000 €,184 m²,https://www.pisos.com/comprar/chalet-el_alamo_centro_urbano-51698330465_104700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,184 m²,159 m²,5,2,Entre 30 y 50 años,A reformar,,STA36-RP2792025134956,N/A,,,Gasoil,2,N/A,N/A,,,,,N/A,,Suroeste,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Casa unifamiliar en calle del Carril del Alcor,Alfa Key West,1.172 €/m²,529.000 €,451 m²,https://www.pisos.com/comprar/casa_unifamiliar-sevilla_la_nueva_centro_urbano-51737391207_101000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,451 m²,,4,2,,,,AF169-2131/175,Más de 2,,Frío,,,30,,,Unifamiliar,,,N/A,N/A,Nordeste,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle Juncal,SIGAB 21INMOBILIARIA,1.233 €/m²,185.000 €,150 m²,https://www.pisos.com/comprar/chalet-cenicientos_centro_urbano-49217907545_100500/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,150 m²,,4,2,Entre 30 y 50 años,En buen estado,Entre 40 y 60 €,SA5705-94948008,1,,N/A,,1,,,N/A,,,,,N/A,Sur,,,,,,5.000 m²,,,,,,,,,,,,,,,,,,,
"Chalet en Carretera de Madrid, 20",EL FRESNO GESTION INMOBILIARIA,2.047 €/m²,215.000 €,105 m²,https://www.pisos.com/comprar/chalet-aldea_del_fresno_centro_urbano-43379000866_101800/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,105 m²,,4,1,Más de 50 años,,,IF77096-1-1517,,,,,,N/A,Privado,Propia,,,,,,,,,,,,510 m²,,,,,,,,,,,,,,,,,,,
"Chalet en Álamo, El",REDPISO SEVILLA LA NUEVA - EL ÁLAMO,1.970 €/m²,329.000 €,167 m²,https://www.pisos.com/comprar/chalet-el_alamo_centro_urbano-50908775195_104700/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,167 m²,139 m²,3,1,Más de 50 años,En buen estado,,STA36-RP2792025133734,N/A,,Frío y calor,Gasoil,1,N/A,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Chalet en Aldea del Fresno,REDPISO SEVILLA LA NUEVA - EL ÁLAMO,1.022 €/m²,230.000 €,225 m²,https://www.pisos.com/comprar/chalet-aldea_del_fresno_centro_urbano-49229640482_104700/,Anuncio actualizado el 29/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,225 m²,191 m²,6,4,Entre 30 y 50 años,A reformar,,STA36-RP2792024132582,N/A,,Frío y calor,,,N/A,N/A,N/A,,,,N/A,N/A,Sur,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Chalet en Mirador El Álamo,TU HOGAR EN PANGEA,1.371 €/m²,325.000 €,237 m²,https://www.pisos.com/comprar/chalet-mirador_el_alamo-45017925765_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,237 m²,,7,4,,,,AG571-845VP,N/A,Gres,N/A,Eléctrica,,,,Privada,,,Individual,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,ADESA 33 INMOBILIARIA,3.000 €/m²,240.000 €,80 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-50852492540_103800/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,80 m²,,2,1,,En buen estado,,INB590-166-10090,2,Gres,Frío y calor,Eléctrica,1,,,Comunitaria,,,N/A,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Toledo,Alegría Madrid,3.180 €/m²,194.000 €,61 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28922-51737988831_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,61 m²,55 m²,3,1,Más de 50 años,,,SA5787-MPA056/11412,,,,Gas natural,,,,,,,,,,,Bajo,,,,,,N/A,,,,N/A,,,,,,,,,,,N/A,,,
"Chalet en calle de la Cuerda del Sol, 9",Fives Real Estate,1.533 €/m²,549.000 €,358 m²,https://www.pisos.com/comprar/chalet-sevilla_la_nueva_centro_urbano-46685125432_108500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,358 m²,282 m²,4,3,,,,AG376-CHA0031,,,,N/A,,,N/A,,,,Individual,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en calle de Fernando Roncero,TIZONA MÓSTOLES BARCELONA,3.144 €/m²,349.000 €,111 m²,https://www.pisos.com/comprar/piso-mostoles_centro28937-51727864246_100500/,Anuncio actualizado el 19/02/2025,"D, D","D, D",madrid_suroeste,111 m²,,2,2,Entre 10 y 20 años,En buen estado,Más de 100 €,SA4146-B-P-RONCERO,1,,N/A,,1,,N/A,N/A,,,,,N/A,,2ª,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Avenida del Galeón,VIVIENDA VILLAVERDE,1.500 €/m²,90.000 €,60 m²,https://www.pisos.com/comprar/piso-urbanizacion_apartamentos_pronto-37527886020_519404/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,60 m²,50 m²,2,1,,Reformado,,4519404-000143,2,Tarima flotante,,Eléctrica,,N/A,Comunitario,,,,Totalmente amueblada y equipada,,,,1ª,N/A,PVC,,,,,Decorativa,De paso con amplia terraza,N/A,N/A,,Lacado blanco,,,,,,,,,,,,
Piso en Centro,"ESTUDIO ARROYOMOLINOS, S.L.",2.921 €/m²,189.900 €,65 m²,https://www.pisos.com/comprar/piso-mostoles_centro28931-51723551444_100200/,Anuncio actualizado el 19/02/2025,"E, E","E, E",madrid_suroeste,65 m²,,2,1,Más de 50 años,En buen estado,,TC162-609485,,,N/A,Central,,N/A,,,,,,,,,3ª,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,
"Chalet en Álamo, El",REDPISO SEVILLA LA NUEVA - EL ÁLAMO,2.145 €/m²,324.000 €,151 m²,https://www.pisos.com/comprar/chalet-el_alamo_centro_urbano-51718869050_104700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,151 m²,126 m²,5,1,Entre 30 y 50 años,A reformar,,STA36-RP2792025134958,N/A,,,,2,N/A,N/A,,,,,,,Sureste,,,,,,,,,,,,,,,,,,,,,,,,,
Loft en calle de Pedrezuela,HOGARES BOADILLA CENTRO,1.617 €/m²,220.000 €,136 m²,https://www.pisos.com/comprar/loft-ventorro_del_cano28925-51738837649_525764/,Anuncio actualizado el 18/02/2025,"E, E","E, E",madrid_suroeste,136 m²,100 m²,1,2,Entre 10 y 20 años,En buen estado,,4525764-000054,,,Frío y calor,Eléctrica,,,,,,,,,,,Bajo,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Norte-Universidad,TECNOCASA UNIVERSIDAD- NUEVO HOSPITAL,3.116 €/m²,349.000 €,112 m²,https://www.pisos.com/comprar/piso-norte_universidad28932-51739945484_100200/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,112 m²,,4,2,Entre 30 y 50 años,En buen estado,,TC28-533280,,,N/A,,,,,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,
Chalet adosado en calle Camelia,RSI INMOBILIARIAS,2.542 €/m²,450.000 €,177 m²,https://www.pisos.com/comprar/chalet_adosado-norte_universidad28933-50920694003_523378/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,177 m²,135 m²,6,3,Entre 20 y 30 años,A reformar,,4523378-000009,Más de 2,Gres,,Gas natural,2,N/A,Privado,,,,N/A,,,Oeste,,,Aluminio,,,,,,,,,,,,,,,,,,,,,,
"Chalet en Álamo, El",REDPISO SEVILLA LA NUEVA - EL ÁLAMO,1.620 €/m²,290.000 €,179 m²,https://www.pisos.com/comprar/chalet-el_alamo_centro_urbano-51676529695_104700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,179 m²,157 m²,5,2,Entre 20 y 30 años,En buen estado,,STA36-RP2792025134960,N/A,,Frío y calor,N/A,,N/A,,N/A,,,,N/A,N/A,Sureste,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Chalet en El Álamo,TU HOGAR EN PANGEA,1.618 €/m²,395.000 €,244 m²,https://www.pisos.com/comprar/chalet-el_alamo_centro_urbano-50849659938_108500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,244 m²,,,,,,,AG571-861VP,,,N/A,Gasoil,,No acristalada,,Privada,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Norte-Universidad,TECNOCASA UNIVERSIDAD- NUEVO HOSPITAL,2.114 €/m²,425.000 €,201 m²,https://www.pisos.com/comprar/piso-norte_universidad28933-50877340256_100200/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,201 m²,,6,3,Entre 30 y 50 años,En buen estado,,TC28-605742,,,N/A,,,N/A,,,,,,,,,2ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Casa pareada en calle de Cervantes,Alfa Key West,966 €/m²,289.000 €,299 m²,https://www.pisos.com/comprar/casa_pareada-sevilla_la_nueva_centro_urbano-51756424363_101000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,299 m²,154 m²,2,1,,,,AF169-2131/174,2,,Frío,,,35,,,Pareada,,,N/A,N/A,Sudeste,,,,,,,,,,,,con cámaras de seguridad,,,,,,,,,,,,,
Casa en Centro,ADESA 33 INMOBILIARIA,2.500 €/m²,175.000 €,70 m²,https://www.pisos.com/comprar/casa-navalcarnero_centro_urbano-51678979563_103800/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,70 m²,,1,1,,En buen estado,,INB590-168-30029,,,Frío y calor,Eléctrica,,,,Propia,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en El Álamo,TU HOGAR EN PANGEA,1.286 €/m²,220.000 €,171 m²,https://www.pisos.com/comprar/chalet-el_alamo_centro_urbano-44167886411_108500/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,171 m²,,5,1,,,,AG571-687VP,N/A,,,Gasoil,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
